Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4052668,4052668 - 180G CDM MILK (S),AU51,AU VDC DANDENONG,418,185,29,204,0,0,233,115,13,27,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,MEALS,840890,840890 - 23KG SMOOTH   CREAMY CC BASE,AU85,AU CHILLED DC,490,271,0,219,0,0,219,45,14,21,Demand reduction (forward),Supply,Y,future demand decrease and sales under forecast,N,2,RCA Available
Jan-2022,202205,ANZ,Australia,CHOCOLATE,620743,620743 - 5KG CDM GARNISH FLAKE,AU51,AU VDC DANDENONG,386,178,1,208,0,0,208,82,20,41,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4267688,4267688 - FR EASTER CARRY BOX,AU52,AU MDC RINGWOOD,162,0,0,0,162,0,162,999,0,0,,,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,621512,621512 - 80G CADBURY CHERRY RIPE,AU51,AU VDC DANDENONG,387,226,0,160,0,0,161,68,14,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4266523,4266523 - 180G OLD GOLD BREAKAWAY TABLET,AU51,AU VDC DANDENONG,178,0,160,0,0,18,160,4,12,40,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4228699,4228699 - 450G CADBURY ROSES MOTHERS DAY,AU51,AU VDC DANDENONG,164,8,0,156,0,0,156,46,14,26,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,New Zealand,BISCUITS,4265762,4265762 - RITZ 180G CRACKER BITES SWEET CHILLI 6CA,NZ52,NZ ADC AUCKLAND,177,36,1,141,0,0,142,256,28,56,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4276214,4276214 - FRYS 55G TURKISH DELIGHT 6CA,AU51,AU VDC DANDENONG,273,140,0,133,0,0,133,33,10,17,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4266623,4266623 - 175G CARAMILK TOPDECK TABLET 4CA,AU51,AU VDC DANDENONG,188,64,0,123,0,0,123,999,12,40,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4263752,4263752 - CORE FAVOURITES   ROSES QP 2020,AU51,AU VDC DANDENONG,122,0,0,122,0,0,122,151,0,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,BISCUITS,4265569,4265569 - RITZ 180G CRACKER BITES CHEESE 6CA,AU86,LINFOX BRISBANE DC,264,149,0,115,0,0,115,153,28,56,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,New Zealand,CHOCOLATE,4266623,4266623 - 175G CARAMILK TOPDECK TABLET 4CA,NZ52,NZ ADC AUCKLAND,172,59,17,97,0,0,114,518,18,46,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,New Zealand,GUM & CANDY,4275577,4275577 - 120G PASCALL PEACH LUMPS 14CA,NZ52,NZ ADC AUCKLAND,115,2,3,111,0,0,113,999,14,21,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,GUM & CANDY,4276771,4276771 - 220G SOUR PATCH KIDS SCUBA 20CA,AU51,AU VDC DANDENONG,200,87,0,112,0,0,112,116,21,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,BISCUITS,4265762,4265762 - RITZ 180G CRACKER BITES SWEET CHILLI 6CA,AU86,LINFOX BRISBANE DC,148,38,0,110,0,0,110,999,28,56,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,GUM & CANDY,4255383,4255383 - TNCC 220G EASTER BUNNIES 16CA,AU51,AU VDC DANDENONG,107,0,0,107,0,0,107,999,0,0,,,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4275603,4275603 - CAD 410G BAKING MILK CHIPS 5CA,AU51,AU VDC DANDENONG,194,90,0,104,0,0,104,49,28,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4266628,4266628 - CAD 173G CRMLK MRBL CA,AU51,AU VDC DANDENONG,436,333,103,0,0,0,103,29,12,40,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4011824,4011824 - TONE 4KG TINY 8G MILK BULK,AU52,AU MDC RINGWOOD,185,85,100,0,0,0,100,31,14,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4269226,4269226 - CAD 10X360G FRUIT NUT 4CA,AU51,AU VDC DANDENONG,300,203,0,98,0,0,98,43,14,28,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,MEALS,826565,826565 - 11.5KG CHEESECAKE SHOP NEUFCHATEL,AU85,AU CHILLED DC,237,140,0,97,0,0,97,39,14,21,Demand under-consumption,Supply,Y,,N,1,RCA Available
Jan-2022,202205,ANZ,Australia,BISCUITS,4051152,4051152 - 300G TOPZ CRACKERS ORIGINAL (ALDI),AU81,AU AMBIENT DC -GROC,259,166,0,93,0,0,93,74,30,51,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,BISCUITS,4265762,4265762 - RITZ 180G CRACKER BITES SWEET CHILLI 6CA,AU81,AU AMBIENT DC -GROC,120,28,5,87,0,0,92,999,28,56,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4255635,4255635 - CAD 180G OLD GOLD CHERRY RIPE TABLET 60C,AU51,AU VDC DANDENONG,151,0,83,0,0,68,83,7,17,45,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,New Zealand,GUM & CANDY,4276784,4276784 - 120G PASCALL FEIJOA LUMPS 14CA,NZ52,NZ ADC AUCKLAND,301,219,0,82,0,0,82,63,14,21,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4266824,4266824 - CADBURY PICNIC LAYERS 34G,AU51,AU VDC DANDENONG,120,42,78,0,0,0,78,15,14,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,GUM & CANDY,4000018,4000018 - 420G TNCC CHEWS FRUITY,AU51,AU VDC DANDENONG,211,133,0,78,0,0,78,79,27,48,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4276927,4276927 - CAD 11X315G OLD GOLD RUM   RAISIN 4CA,AU51,AU VDC DANDENONG,184,108,0,76,0,0,76,51,18,25,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4267522,4267522 - FR GOODY CARRY BARS BOX,AU51,AU VDC DANDENONG,261,186,0,76,0,0,76,999,21,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,CHOCOLATE,4023262,4023262 - 225G CADBURY BAKING WHITE MELTS,AU51,AU VDC DANDENONG,82,9,0,72,0,0,73,393,14,35,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,GUM & CANDY,4269346,4269346 - 140G PASCALL PINEAPPLE LUMPS 14CA,AU51,AU VDC DANDENONG,127,56,0,72,0,0,72,35,8,15,,Supply,Y,,,,RCA Missing
Jan-2022,202205,ANZ,Australia,BISCUITS,4276722,4276722 - OREO 67G OREO MINI CUP 12CA,AU81,AU AMBIENT DC -GROC,133,63,0,70,0,0,70,84,28,56,,Supply,Y,,,,RCA Missing
