Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jan-2023,202304,ANZ,Australia,CHOCOLATE,13679,13679 - TONE 100G TBL MILK 4X20CA,AU51,AU VDC DANDENONG,67.74295,0.0,0.96833,0.0,0.0,66.77462,0.96833,29.42441,36.0,64.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,13686,13686 - TONE 200G TBL MILK 5X10CA,AU51,AU VDC DANDENONG,5.01822,0.0,3.64481,0.0,0.0,1.37341,3.64481,0.2337,35.0,63.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,35776,35776 - TONE 4.5KG TBL MILK 1CA.,AU51,AU VDC DANDENONG,1.40174,0.0,0.0,0.0,0.0,1.40174,0.0,15.66042,28.0,63.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,BISCUITS,323248,323248 - 180G CADBURY BREAKAWAY BISCUIT MILK,AU51,AU VDC DANDENONG,170.5672,54.49582,0.46335,115.60803,0.0,0.0,116.07138,28.11507,7.0,14.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,324885,324885 - 55G CDM CARAMELLO,AU51,AU VDC DANDENONG,42.92876,0.0,0.47045,0.0,0.0,42.4583,0.47045,10.4437,15.0,150.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,324890,324890 - 50G CDM MC JELLY POP CANDY BEANIES,AU51,AU VDC DANDENONG,7.04054,0.0,0.14368,0.0,0.0,6.89686,0.14368,1.00688,18.0,60.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,324895,324895 - 55G CDM HAZELNUT,AU51,AU VDC DANDENONG,100.26294,100.05201,0.21093,0.0,0.0,0.0,0.21093,21.90667,15.0,150.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,324922,324922 - 50G CADBURY DREAM,AU51,AU VDC DANDENONG,0.05749,0.0,0.05749,0.0,0.0,0.0,0.05749,0.0,17.0,120.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,324927,324927 - 50G CADBURY DAIRY MILK FT,AU51,AU VDC DANDENONG,47.38873,0.0,0.75121,0.0,0.0,46.63752,0.75121,5.55353,14.0,150.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,326071,326071 - 50G CADBURY FRUIT AND NUT,AU51,AU VDC DANDENONG,99.51989,99.09381,0.42608,0.0,0.0,0.0,0.42608,40.28542,18.0,150.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,326368,326368 - 15G CARAMELLO KOALA,AU51,AU VDC DANDENONG,33.98633,33.98633,0.0,0.0,0.0,0.0,0.0,31.31897,14.0,42.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,CHOCOLATE,326445,326445 - 12G CDM FREDDO,AU51,AU VDC DANDENONG,66.63834,66.61765,0.02069,0.0,0.0,0.0,0.02069,37.50384,28.0,56.0,,,,,,,RCA Missing
